id,title,primary_category,categories,disease_tags,task_tags,authors,session,cvpr_url,paper_url,github_url,code_url,project_url,demo_url,video_url,arxiv_url,slides_url,source_url,poster_image_url,thumbnail_url,abstract
38134,"Divide, Conquer, and Aggregate: Asymmetric Experts for Class-Imbalanced Semi-Supervised Medical Image Segmentation",3D / Volumetric Medical Imaging,3D / Volumetric Medical Imaging; Medical AI / General,Organs / Anatomy,Segmentation,Yajun Liu,Poster Session 2 & Exhibit Hall w/ Coffee Break,https://cvpr.thecvf.com/virtual/2026/poster/38134,https://openaccess.thecvf.com/content/CVPR2026/html/Liu_Divide_Conquer_and_Aggregate_Asymmetric_Experts_for_Class-Imbalanced_Semi-Supervised_Medical_CVPR_2026_paper.html,https://github.com/PHPJava666/DCA,https://github.com/PHPJava666/DCA,https://github.com/PHPJava666/DCA,,https://www.youtube-nocookie.com/embed/rUjLlvNsrDs,,https://cvpr.thecvf.com/media/cvpr-2026/Slides/38134.pdf,https://openreview.net/group?id=thecvf.com/CVPR/2026/Conference,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/38134.png,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/38134-thumb.png,"Semi-supervised medical image segmentation (SSMIS) aims to alleviate annotation scarcity, but general methods, often developed on few-class datasets, suffer performance degradation in class-imbalanced multi-organ scenarios. Existing class-imbalanced SSMIS methods also struggle, as their single-decoder architecture is forced to handle vastly different scales with shared parameters. This process is easily dominated by majority classes, fundamentally limiting tail-class segmentation capability.To address this, we propose a ‘’$\textbf{D}$ivide, $\textbf{C}$onquer, and $\textbf{A}$ggregate"" ($\textbf{DCA}$) framework, featuring a unified encoder, three expert decoders, and an aggregation decoder. First, we $\textbf{D}$ivide by applying a Logarithmic Gap Analysis to statically partition foreground classes into stable Head, Medium, and Tail sets, which aligns with anatomical priors. Then, we $\textbf{C}$onquer by training the three architecturally asymmetric experts independently using a label-split strategy. This fundamentally alleviates the burden on a single decoder. The experts' predictions on unlabeled data are fused via logit stitching to generate high-quality pseudo-labels. Finally, we $\textbf{A}$ggregate using an aggregation decoder with a Dynamic Feature Aggregation Module (DFAM), which dynamically fuses priors from all three experts to achieve unbiased predictions and fully leverage unlabeled data. Experiments demonstrate that our DCA framework significantly outperforms state-of-the-art general and class-imbalanced SSMIS methods."
36808,Revisiting 2D Foundation Models for Scalable 3D Medical Image Classification,3D / Volumetric Medical Imaging,3D / Volumetric Medical Imaging; Medical AI / General,,Foundation / Adaptation; Generative / Diffusion,Han Liu; Bogdan Georgescu; Yanbo Zhang; Youngjin Yoo; Michael Baumgartner; Riqiang Gao; Jianing Wang; Gengyan Zhao; Eli Gibson; Dorin Comaniciu; Sasa Grbic,Poster Session 5 & Exhibit Hall,https://cvpr.thecvf.com/virtual/2026/poster/36808,https://openaccess.thecvf.com/content/CVPR2026/html/Liu_Revisiting_2D_Foundation_Models_for_Scalable_3D_Medical_Image_Classification_CVPR_2026_paper.html,,,,,,https://arxiv.org/abs/2512.12887,,https://openreview.net/group?id=thecvf.com/CVPR/2026/Conference,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/36808.png,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/36808-thumb.png,"3D medical image classification is essential to modern clinical workflows. Medical foundation models (FMs) have emerged as a promising approach for scaling to new tasks, yet current research suffers from three critical pitfalls: data-regime bias, suboptimal adaptation, and insufficient task coverage. In this paper, we address these pitfalls and introduce AnyMC3D, a scalable 3D classifier adapted from 2D FMs. It allows efficient scaling to new tasks by adding only lightweight plugins (~1M parameters per task) to a single frozen backbone. Besides, this versatile framework also supports multi-view inputs, auxiliary pixel-level supervision, and interpretable heatmap generation. We establish a comprehensive benchmark of 12 tasks covering diverse pathologies, anatomies, and modalities and systematically evaluate state-of-the-art 3D classification techniques. Our analysis reveals several key insights: (1) effective adaptation is critical to unlock FM potential, (2) general-purpose FMs can match medical-specific FMs if properly adapted, and (3) 2D-based methods surpass 3D architectures for 3D classification. For the first time, we demonstrate the feasibility of achieving state-of-the-art performance across diverse applications using a single scalable framework (e.g., 1st place in the *** challenge), eliminating the need for separate task-specific 3D models."
40545,3D Gaussian Splatting for Annular Dark Field Scanning Transmission Electron Microscopy Tomography Reconstruction,CT / Tomography,CT / Tomography; Pathology / Microscopy / Cells,,Restoration / Reconstruction,,Findings Poster Session 1,https://cvpr.thecvf.com/virtual/2026/poster/40545,,,,,,,,,,,,
37500,A Supervised Multi-task Framework for Joint cryo-ET Restoration Enabled by Generative Physical Simulation,CT / Tomography,CT / Tomography,,Restoration / Reconstruction; Generative / Diffusion,Xinsheng Wang; Zhidong Yang; Xiaohua Wan; Renmin Han; Shuai Tang; Hao Dong; Fa Zhang; Bin Hu,Poster Session 3 & Exhibit Hall,https://cvpr.thecvf.com/virtual/2026/poster/37500,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_A_Supervised_Multi-task_Framework_for_Joint_cryo-ET_Restoration_Enabled_by_CVPR_2026_paper.html,,,,,https://www.youtube-nocookie.com/embed/l6dUjN6fWEU,,,https://openreview.net/group?id=thecvf.com/CVPR/2026/Conference,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/37500.png,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/37500-thumb.png,"Cryo-electron tomography (cryo-ET) enables in-situ visualization of cellular structures at near-native state, yet its practical utility is often hampered by extremely low signal-to-noise ratio (SNR) and severe missing wedge artifacts resulting from dose limitations and restricted tilt angles. While several computational methods have been proposed for reconstructing high-quality tomograms, the performance is still limited by the absence of accurate noise modeling and reliable ground truth data. To address this challenge, we propose cryoDeRec, a multi-task learning framework to jointly address denoising and missing wedge reconstruction in fully supervised manner. The main contribution of cryoDeRec is a dual-objective training strategy incorporated with synthetically corrupted tomogram and raw noisy tomogram, enabling simultaneous restoration of structural fidelity and reconstruction of missing information. The model is trained on a physically synthetic dataset generated by a novel imaging simulation pipeline that incorporates authentic noise distributions and isotropic structural priors. We evaluate cryoDeRec on four realistic cryo-ET datasets and two simulated datasets with extremely low SNR, all reconstructed using Weighted Back Projection (WBP). Extensive experimental results demonstrate that our method achieves high-quality restoration directly from raw tomograms without any pre-processing, outperforming existing state-of-the-art methods. Our findings show that training on a comprehensive simulated dataset, which captures realistic noise and structural diversity, enables models to generalize effectively to real cryo-ET tomograms. The code and datasets will be available upon acceptance."
36230,Any2Any 3D Diffusion Models with Knowledge Transfer: A Radiotherapy Planning Study,CT / Tomography,CT / Tomography; Medical AI / General,Organs / Anatomy,Generative / Diffusion; Federated / Continual / Generalization,Yuhan Wang; Zihan Li; Han Liu; Simon Arberet; Martin F. Kraus; Yuyin Zhou; Florin-Cristian Ghesu; Dorin Comaniciu; Ali Kamen; Riqiang Gao,Poster Session 3 & Exhibit Hall,https://cvpr.thecvf.com/virtual/2026/poster/36230,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_Any2Any_3D_Diffusion_Models_with_Knowledge_Transfer_A_Radiotherapy_Planning_CVPR_2026_paper.html,,,,,https://www.youtube-nocookie.com/embed/iWkIgkP-mtU,https://arxiv.org/abs/2605.09622,,https://openreview.net/group?id=thecvf.com/CVPR/2026/Conference,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/36230.png,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/36230-thumb.png,"Voxel-wise dose prediction is a critical yet challenging task in practical radiotherapy (RT) planning, as bespoke models trained from scratch often struggle to generalize across diverse clinical settings. Meanwhile, generative models trained on billion-scale datasets from vision domains have achieved impressive performance. Herein, we propose DiffKT3D, a unified Any2Any 3D diffusion framework that leverages prior knowledge from pretrained video diffusion models for efficient and clinically meaningful dose prediction. To enable flexible conditioning across multiple clinical modalities (CT, anatomical structures, body, beam settings, etc.), we introduce an Any2Any conditional paradigm utilizing modality-specific embeddings without cross-attention overhead. Further, we design a novel reinforcement learning (RL) post-training mechanism guided by a clinically-informed scorecard explicitly tailored to institutional treatment preferences. Compared with winner of GDP–HMM challenge, DiffKT3D sets a new state-of-the-art in dose prediction by reducing voxel-level MAE from 2.07 to 1.93. In addition, DiffKT3D achieves superior image quality and preference match. These results demonstrate that transferring diffusion priors via modality-aware conditioning and clinically aligned RL post-training provides a robust and generalizable solution for RT planning across various clinical scenarios."
38379,Gastric-X: A Multimodal Multi-Phase Benchmark Dataset for Advancing Vision-Language Models in Gastric Cancer Analysis,CT / Tomography,CT / Tomography; Medical AI / General,Cancer / Tumor / Lesion,Detection / Diagnosis; Medical VLM / VQA / Reasoning; Generative / Diffusion; Federated / Continual / Generalization,Yuanzhe Li; Hao Chen; Rui Yin; Juyan Ba; Yu Zhang; Sheng Lu,Poster Session 1 & Exhibit Hall,https://cvpr.thecvf.com/virtual/2026/poster/38379,https://openaccess.thecvf.com/content/CVPR2026/html/Li_Gastric-X_A_Multimodal_Multi-Phase_Benchmark_Dataset_for_Advancing_Vision-Language_Models_CVPR_2026_paper.html,,,,,https://www.youtube-nocookie.com/embed/u-wJG8A8JqY,https://arxiv.org/abs/2603.19516,,https://openreview.net/group?id=thecvf.com/CVPR/2026/Conference,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/38379.png,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/38379-thumb.png,"Recent vision language models (VLMs) have shown strong generalization and multimodal reasoning abilities in natural domains. However, their application to medical diagnosis remains limited by the lack of comprehensive and structured datasets that capture real clinical workflows. To advance the development of VLMs for clinical applications, particularly in gastric cancer, we introduce Gastric-X, a large-scale multimodal benchmark for gastric cancer analysis. Each case in Gastric-X includes paired resting and dynamic CT scans, a set of structured biochemical indicators, expert-authored diagnostic notes, and bounding box annotations of tumor regions, reflecting realistic clinical conditions. We systematically examine the capability of recent VLMs on five core tasks: Visual Question Answering (VQA), report generation, cross-modal retrieval, disease classification, and lesion localization. These tasks simulate critical stages of clinical workflow, from visual understanding and reasoning to multimodal decision support.  Through this evaluation, we aim not only to assess model performance but also to probe the nature of VLM understanding: Can current VLMs meaningfully correlate biochemical signals with spatial tumor features and textual reports? We envision Gastric-X as a step toward aligning machine intelligence with the cognitive and evidential reasoning processes of physicians, and as a resource to inspire the development of next-generation medical VLMs."
40015,GH-NAF: Grid-Adaptive Hash-Level–Attended Neural Attenuation Fields for Discrepancy-Aware CBCT,CT / Tomography,CT / Tomography; Medical AI / General,,Restoration / Reconstruction,Seong Je Oh; Ju Hwan Lee; Chae Yeon Lim; Donghwan Lee; Myung Jin Ching; Kyungsu Kim,Poster Session 6,https://cvpr.thecvf.com/virtual/2026/poster/40015,https://openaccess.thecvf.com/content/CVPR2026/html/Oh_GH-NAF_Grid-Adaptive_Hash-Level-Attended_Neural_Attenuation_Fields_for_Discrepancy-Aware_CBCT_CVPR_2026_paper.html,,,https://limchaeyeon1003.github.io/GH_NAF_CVPR/,,https://www.youtube-nocookie.com/embed/iNo39VR-ieY,,https://cvpr.thecvf.com/media/cvpr-2026/Slides/40015.pdf,https://openreview.net/group?id=thecvf.com/CVPR/2026/Conference,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/40015.png,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/40015-thumb.png,"The advent of hash encodings has evolved neural radiance fields (NeRF)-based methods into fast and efficient 3D reconstruction techniques. In medical imaging, this framework has been extended to CT/CBCT reconstruction through neural attenuation fields (NAF), which directly model attenuation properties from projection data. Existing NeRF-based attenuation fields typically assume an idealized monoenergetic CBCT setting and therefore fail to model real-world projection inconsistencies such as scatter and noise contamination. Moreover, uniformly concatenating multi-resolution hash-grid features blends heterogeneous frequency components and noise into a single representation, causing artifacts: homogeneous regions acquire spurious high-frequency patterns, structural boundaries become blurred, and projection-induced bias propagates throughout the learned field. Given these limitations, we introduce the Grid-Adaptive Hash-Level–Attended Neural Attenuation Field (GH-NAF). Instead of collapsing noise-corrupted projection signals into a single feature space, GH-NAF trained each hash-grid level independently, guided by uncertainty-based confidence scores. This enables stable low-frequency modeling in homogeneous tissues while selectively preserving high-frequency detail around structural boundaries. Experiments on synthetic and real CBCT datasets demonstrate that GH-NAF reliably preserves intra-material contrast and achieves superior reconstruction quality compared with state-of-the-art methods."
37660,KLIP: Localized Distribution Shift Detection via KL-Divergence with Diffusion Priors in Inverse Problems,CT / Tomography,CT / Tomography,Organs / Anatomy,Detection / Diagnosis; Generative / Diffusion; Federated / Continual / Generalization,Alireza Kheirandish; Jihoon Hong; Sara Fridovich-Keil,Poster Session 5 & Exhibit Hall,https://cvpr.thecvf.com/virtual/2026/poster/37660,https://openaccess.thecvf.com/content/CVPR2026/html/Kheirandish_KLIP_Localized_Distribution_Shift_Detection_via_KL-Divergence_with_Diffusion_Priors_CVPR_2026_paper.html,,,,,https://www.youtube-nocookie.com/embed/2ROqNZJZclk,,,https://openreview.net/group?id=thecvf.com/CVPR/2026/Conference,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/37660.png,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/37660-thumb.png,"Diffusion models have shown promising performance as data-driven priors for computational imaging, as well as some capacity to detect out-of-distribution (OOD) images. However, existing approaches to OOD detection often require some knowledge of the shifted distribution, fail to detect subtle or localized distribution shifts, and operate on full images, rather than the indirect measurements available in inverse problems. We propose an OOD detection metric based on the Kullback-Leibler divergence between the diffusion prior and the posterior distribution, that (i) does not require any calibration data or knowledge of the shifted distribution, and (ii) can detect whole images as OOD as well as localize OOD patches within an image. Experimentally, we show that this metric can detect subtle yet semantically meaningful distribution shifts, such as the shift from healthy liver CT scans to those with tumors, and generalizes across different types of diffusion models, datasets, and inverse problems."
39688,Learning Diffeomorphism for Medical Image Registration with Time-Embedded Architectures Using Semigroup Regularization,CT / Tomography,CT / Tomography; Medical AI / General,,Registration,Mohammadjavad Matinkia; Nilanjan Ray,Poster Session 5 & Exhibit Hall,https://cvpr.thecvf.com/virtual/2026/poster/39688,https://openaccess.thecvf.com/content/CVPR2026/html/Matinkia_Learning_Diffeomorphism_for_Medical_Image_Registration_with_Time-Embedded_Architectures_Using_CVPR_2026_paper.html,,,,,https://www.youtube-nocookie.com/embed/ss_GC9hi-7k,,,https://openreview.net/group?id=thecvf.com/CVPR/2026/Conference,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/39688.png,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/39688-thumb.png,"Diffeomorphic image registration (DIR) seeks topology-preserving transformations and is fundamental in medical imaging. Existing DIR methods rely on integration schemes (e.g., scaling-and-squaring) and multiple regularizers to enforce invertibility. We introduce **SGDIR**, a continuous-time registration framework, parameterized by known time-embedded backbones, that models diffeomorphisms using only a single semigroup-based regularization, eliminating explicit integration and auxiliary constraints. We mathematically prove that this formulation directly learns the flow of an underlying ODE, inherently enforcing inverse and cycle consistencies. We evaluate on eight 2D and 3D MR and CT datasets. Under strict semigroup enforcement, our model achieves near-perfect diffeomorphism (near-zero folding) and significantly outperforms existing diffeomorphic methods, while remaining competitive with leading non-diffeomorphic deformable models. When the regularization is relaxed, the same architecture functions as a deformable method and substantially surpasses state-of-the-art non-diffeomorphic approaches in registration accuracy. These results demonstrate that continuous-time deformation modeling, guided solely by our semigroup-based regularization, yields a unified framework capable of both rigorously diffeomorphic mapping and state-of-the-art deformable registration."
39104,PETAR: Localized Findings Generation with Mask-Aware Vision-Language Modeling for PET Automated Reporting,CT / Tomography,CT / Tomography; PET / Nuclear Medicine; 3D / Volumetric Medical Imaging; Medical AI / General,Cancer / Tumor / Lesion,Segmentation; Medical VLM / VQA / Reasoning; Generative / Diffusion,Danyal Maqbool; Changhee Lee; Zachary Huemann; Samuel D. Church; Matthew E. Larson; Scott B. Perlman; Tomas A. Romero; Joshua D. Warner; Meghan Lubner; Xin Tie; Jameson Merkow; Junjie Hu; Steve Y. Cho; Tyler J. Bradshaw,Poster Session 6,https://cvpr.thecvf.com/virtual/2026/poster/39104,https://openaccess.thecvf.com/content/CVPR2026/html/Maqbool_PETAR_Localized_Findings_Generation_with_Mask-Aware_Vision-Language_Modeling_for_PET_CVPR_2026_paper.html,,,,,https://www.youtube-nocookie.com/embed/vlHR_NcGlDs,https://arxiv.org/abs/2510.27680,,https://openreview.net/group?id=thecvf.com/CVPR/2026/Conference,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/39104.png,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/39104-thumb.png,"Generating automated reports for 3D positron emission tomography (PET) is an important and challenging task in medical imaging. PET plays a vital role in oncology, but automating report generation is difficult due to the complexity of whole-body 3D volumes, the wide range of potential clinical findings, and the limited availability of annotated datasets. To address these challenges, we introduce PETARSeg-11K, the first large-scale, publicly available dataset that provides lesion-level correspondence between 3D PET/CT volumes and free-text radiological findings. It comprises 11,356 lesion descriptions paired with 3D segmentations. Second, we propose PETAR-4B, a 3D vision-language model designed for mask-aware, spatially grounded PET/CT reporting. PETAR-4B jointly encodes PET, CT, and 3D lesion segmentation masks, using a 3D focal prompt to capture fine-grained details of lesions that normally comprise less than 0.1\% of the volume. Evaluations using automated metrics show PETAR-4B substantially outperforming all 2D and 3D baselines. A human study involving five physicians---the first of its kind for automated PET reporting---confirms the model's clinical utility and establishes correlations between automated metrics and expert judgment. This work provides a foundational dataset and a novel architecture, advancing 3D medical vision-language understanding in PET."
41016,PTF-CT: Polar-Aware Temporal-Frequential Iterative Reconstruction for Sparse-View CT,CT / Tomography,CT / Tomography; Pathology / Microscopy / Cells; Medical AI / General,,Restoration / Reconstruction,,Findings Poster Session 2,https://cvpr.thecvf.com/virtual/2026/poster/41016,,,,,,,,,,,,
41013,Rethinking Whole-Body CT Image Interpretation: An Abnormality-Centric Approach,CT / Tomography,CT / Tomography; Pathology / Microscopy / Cells; Medical AI / General,,,,Findings Poster Session 2,https://cvpr.thecvf.com/virtual/2026/poster/41013,,,,,,,,,,,,
36984,Scaling Self-Supervised and Cross-Modal Pretraining for Volumetric CT Transformers,CT / Tomography,CT / Tomography; 3D / Volumetric Medical Imaging; Medical AI / General,,Medical VLM / VQA / Reasoning; Foundation / Adaptation; Federated / Continual / Generalization,Cris Claessens; Christiaan Viviers; Giacomo D&amp;#x27;Amicantonio; Egor Bondarev; Fons van der Sommen,Poster Session 2 & Exhibit Hall w/ Coffee Break,https://cvpr.thecvf.com/virtual/2026/poster/36984,https://openaccess.thecvf.com/content/CVPR2026/html/Claessens_Scaling_Self-Supervised_and_Cross-Modal_Pretraining_for_Volumetric_CT_Transformers_CVPR_2026_paper.html,,,,,https://www.youtube-nocookie.com/embed/tFdLkc0v998,,,https://openreview.net/group?id=thecvf.com/CVPR/2026/Conference,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/36984.png,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/36984-thumb.png,"We introduce SPECTRE, a fully transformer-based foundation model for volumetric computed tomography (CT). Our Self-Supervised & Cross-Modal Pretraining for CT Representation Extraction (SPECTRE) approach utilizes scalable 3D Vision Transformer architectures and modern self-supervised and vision–language pretraining strategies to learn general-purpose CT representations. Volumetric CT poses unique challenges, such as extreme token scaling, geometric anisotropy, and weak or noisy clinical supervision, that make standard transformer and contrastive learning recipes ineffective out of the box. The framework jointly optimizes a local transformer for high-resolution volumetric feature extraction and a global transformer for whole-scan context modeling, making large-scale 3D attention computationally tractable. Notably, SPECTRE is trained exclusively on openly available CT datasets, demonstrating that high-performing, generalizable representations can be achieved without relying on private data. Pretraining combines DINO-style self-distillation with SigLIP-based vision–language alignment using paired radiology reports, yielding features that are both geometrically consistent and clinically meaningful. Across multiple CT benchmarks, SPECTRE consistently outperforms prior CT foundation models in both zero-shot and fine-tuned settings, establishing SPECTRE as a scalable, open, and fully transformer-based foundation model for 3D medical imaging."
36477,Sketch2CT: Multimodal Diffusion for Structure-Aware 3D Medical Volume Generation,CT / Tomography,CT / Tomography; 3D / Volumetric Medical Imaging; Medical AI / General,,Segmentation; Restoration / Reconstruction; Generative / Diffusion,Delin An; Chaoli Wang,Poster Session 6,https://cvpr.thecvf.com/virtual/2026/poster/36477,https://openaccess.thecvf.com/content/CVPR2026/html/An_Sketch2CT_Multimodal_Diffusion_for_Structure-Aware_3D_Medical_Volume_Generation_CVPR_2026_paper.html,,,,,https://www.youtube-nocookie.com/embed/RiNNzMcykok,https://arxiv.org/abs/2603.22509,,https://openreview.net/group?id=thecvf.com/CVPR/2026/Conference,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/36477.png,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/36477-thumb.png,"Diffusion probabilistic models have demonstrated significant potential in generating high-quality, realistic medical images, providing a promising solution to the persistent challenge of data scarcity in the medical field. Nevertheless, producing 3D medical volumes with anatomically consistent structures under multimodal conditions remains a complex and unresolved problem. We introduce Sketch2CT, a multimodal diffusion framework for structure-aware 3D medical volume generation, jointly guided by a user-provided 2D sketch and a textual description that captures 3D geometric semantics. The framework initially generates 3D segmentation masks of the target organ from random noise, conditioned on both modalities. To effectively align and fuse these inputs, we propose two key modules that refine sketch features with localized textual cues and integrate global sketch-text representations. Built upon a capsule-attention backbone, these modules leverage the complementary strengths of sketches and text to produce anatomically accurate organ shapes. The synthesized segmentation masks subsequently guide a latent diffusion model for 3D CT volume synthesis, enabling realistic reconstruction of organ appearances that are consistent with user-defined sketches and descriptions. Extensive experiments on public CT datasets demonstrate that Sketch2CT achieves superior performance in generating multimodal medical volumes. Its controllable, low-cost generation pipeline enables principled, efficient augmentation of medical datasets."
39706,Unsupervised Multi-Scale Segmentation of 3D Subcellular World with Stable Diffusion Foundation Model,CT / Tomography,CT / Tomography,,Segmentation; Foundation / Adaptation; Generative / Diffusion,Mostofa Uddin Uddin; HM Shadman Tabib; Thanh-Huy Nguyen; Kashish Gandhi; Min Xu,Poster Session 4 & Exhibit Hall w/ Coffee Break,https://cvpr.thecvf.com/virtual/2026/poster/39706,https://openaccess.thecvf.com/content/CVPR2026/html/Uddin_Unsupervised_Multi-Scale_Segmentation_of_3D_Subcellular_World_with_Stable_Diffusion_CVPR_2026_paper.html,,,,,https://www.youtube-nocookie.com/embed/XfIVZ06FeT8,,,https://openreview.net/group?id=thecvf.com/CVPR/2026/Conference,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/39706.png,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/39706-thumb.png,"We introduce an unsupervised approach for segmenting multiscale subcellular objects in 3D volumetric cryo-electron tomography (cryo-ET) images. To this end, we address key challenges such as lack of annotated data, large data volumes, high heterogeneity of subcellular shapes and sizes, and high inter-domain variability of cellular cryo-ET images across different experiments and contexts. Our method requires users to only select a small number of slabs from a few representative tomograms in the dataset. The core of our method is extracting features for the corresponding slabs, leveraging a Stable Diffusion foundation model pretrained on mostly natural images. The feature extraction is followed by a novel heuristic-based feature aggregation strategy, and adaptive thresholding to segment the aggregated features. The resulting masks are refined with pretrained CellPose to split composite regions, and then utilized as pseudo-ground truth for training supervised deep learning models. We validated our unsupervised foundation-model based pipeline on publicly available cryo-ET benchmark datasets, demonstrating performance that closely approximates expert human annotations. This fully automated, data-driven framework enables the mining of multi-scale subcellular patterns, paving the way for accelerated biological discoveries from large-scale cellular cryo-ET datasets."
38695,VesMamba: 3D Pulmonary Vessel Segmentation from CT images via Mamba with Structural Perception and Scale-aware Filtering,CT / Tomography,CT / Tomography; Medical AI / General,,Segmentation,Zhipeng Liu; Guilian Chen; Zheng Jiang; Huisi Wu; Jing Qin,Poster Session 1 & Exhibit Hall,https://cvpr.thecvf.com/virtual/2026/poster/38695,https://openaccess.thecvf.com/content/CVPR2026/html/Liu_VesMamba_3D_Pulmonary_Vessel_Segmentation_from_CT_images_via_Mamba_CVPR_2026_paper.html,,,,,https://www.youtube-nocookie.com/embed/vtGF79QAQyM,,,https://openreview.net/group?id=thecvf.com/CVPR/2026/Conference,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/38695.png,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/38695-thumb.png,"Automated 3D pulmonary vessel segmentation from CT images is crucial for improving early screening and assessment of pulmonary vessel related diseases. However, it remains an extremely challenging task due to the complex and tree-like structures of vessels, large scale-variation, and the existence of highly similar tissues in the background. Existing segmentation models either cannot sufficiently capture long-range structural dependencies, which are of great importance in vessel segmentation, or are constrained by insufficient computational resources in clinical settings. In this paper, we propose VesMamba, a novel model for 3D pulmonary vessel segmentation that comprehensively addresses these challenges. Specifically, we first devise a spatial-gated structural perception (SSP) module, which employs Mamba to efficiently capture long-range dependencies. In SSP, we design dynamic spatial attention convolutions (DSAC) for dynamically learning the tree-like 3D vessel structures, providing Mamba with the spatial perception capability to better track the complicated topologies of vessels. Second, we propose an innovative bidirectional scale-aware filter (BSF) module to strengthen the representation capability of the encoder, facilitating our model to focus on vessels of different scales under noise. Moreover, we apply a mask-constrained decoder to further improve segmentation consistency and accuracy, which constrains the inference of adjacent low-layer decoders directly by high-layer masks. Extensive experiments on the public dataset Parse22 and the internal dataset Lung79 demonstrate that our method can achieve better performance than SOTAs. Codes will be released upon publication."
41024,Vision-Language Models for Automated 3D PET/CT Report Generation,CT / Tomography,CT / Tomography; PET / Nuclear Medicine; Pathology / Microscopy / Cells; Medical AI / General,,Medical VLM / VQA / Reasoning; Generative / Diffusion,,Findings Poster Session 2,https://cvpr.thecvf.com/virtual/2026/poster/41024,,,,,,,,,,,,
37123,CoFiDA-M: Concept-Aware Feature Modulation for Cross-Domain Adaptation with Image-Only Inference,Dermatology / Skin,Dermatology / Skin; Medical AI / General,Cancer / Tumor / Lesion,Foundation / Adaptation; Federated / Continual / Generalization,Nurjahan Sultana; Moi Hoon Yap; Xinqi Fan; Wenqi Lu,Poster Session 3 & Exhibit Hall,https://cvpr.thecvf.com/virtual/2026/poster/37123,https://openaccess.thecvf.com/content/CVPR2026/html/Sultana_CoFiDA-M_Concept-Aware_Feature_Modulation_for_Cross-Domain_Adaptation_with_Image-Only_Inference_CVPR_2026_paper.html,,,,,https://www.youtube-nocookie.com/embed/fD9SiGbGIxc,,,https://openreview.net/group?id=thecvf.com/CVPR/2026/Conference,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/37123.png,https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/37123-thumb.png,"Models for AI-based skin cancer screening suffer a severe performance drop when shifting from expert dermoscopic (source) images to consumer-grade clinical (target) photos, hindering real-world deployment. Existing domain adaptation methods often ignore crucial semantic invariants, such as clinical concepts. While new foundation models like MONET can provide this semantic information as dense, probabilistic scores, this metadata is unavailable at test time, creating a deployment paradox for practical image-only screening tools. We address this gap by proposing CoFiDA-M, a privileged information framework that learns from concepts at training time but deploys as an image-only model. Our method trains a teacher network that uses MONET concept probabilities to guide a FiLM modulator, transforming visual features into a semantically ""edited"" feature space. A lightweight, image-only student is then trained to reproduce this edited representation, not just the teacher's final predictions. This distillation ""bakes"" the clinical reasoning into the student's weights.On a challenging multi-dataset benchmark, our image-only student significantly outperforms state-of-the-art approaches, especially in melanoma recall. Our work provides a practical and generalizable framework for leveraging noisy, probabilistic metadata as privileged information, demonstrating strong cross-dataset robustness and potential for real-world deployment beyond dermatology. The code will be made publicly available upon acceptance."
